Apartment.Texture.rotate
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
1.71391, 2.68255, 1.82484, 1.49419, 1.93642, 2.55917, 3.40395, 1.94635
0.493123, 13.1316, 0.583686, 0.384707, 0.731378, 0.438636, 5.48212, 0.656536
1.69258, 1.37796, 2.25883, 0.898222, 1.80759, 1.06487, 186.492, 3.36392
1.05354, 0.510801, 1.1927, 0.43815, 0.780035, 0.481346, 4.53715, 0.440437
0.876949, 2.54433, 1.42747, 0.39808, 1.01333, 0.464365, 496.519, 0.704335

Kitchen.littleTexture.zoom
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
0.611146, 1.03397, 1.03331, 1.12563, 0.699524, 0.674616, 1.21737, 0.638146
0.193745, 0.155336, 0.324837, 0.198681, 0.242208, 0.284048, 0.398886, 0.166984
0.204125, 0.299296, 0.560538, 0.269814, 0.316811, 0.306308, 0.255749, 0.450924
0.308482, 0.557153, 0.247634, 0.26565, 0.38055, 0.290241, 0.424258, 0.23696
1.38935, 2.39924, 0.818976, 0.732996, 1.04757, 1.23581, 0.900779, 1.36629
0.203925, 0.197036, 0.173264, 0.166971, 0.163451, 0.167726, 0.197437, 0.22375
0.50609, 0.364548, 0.233856, 0.319106, 0.753472, 0.348277, 0.359888, 0.243444
0.244317, 0.508106, 0.355825, 0.428514, 0.499537, 0.39773, 0.572906, 0.799356
0.141921, 0.178499, 0.129246, 0.126109, 0.131616, 0.160208, 0.180377, 0.150562
0.19851, 0.262893, 0.180636, 0.168263, 0.262863, 0.18244, 0.598979, 0.502296
0.254859, 0.492614, 0.288428, 0.287101, 0.324829, 0.389951, 2.01337, 2.00521
1.0426, 2.16497, 0.900721, 0.846211, 1.08805, 0.727635, 1.05672, 0.89088
0.31332, 0.236991, 0.311889, 0.247799, 0.228091, 0.281551, 0.562138, 0.260271
0.216503, 0.232443, 0.215857, 0.176432, 0.208806, 0.200045, 0.461373, 0.237786
0.201763, 0.350101, 0.171718, 0.164035, 0.222977, 0.181886, 0.261596, 0.327668
0.406533, 2.22817, 0.243454, 0.2319, 0.555577, 0.331568, 1.22756, 0.700836
0.297291, 0.225522, 0.335653, 0.288473, 0.304212, 0.310479, 0.326489, 0.345365
0.234249, 0.372487, 0.200984, 0.176718, 0.226084, 0.190539, 0.176128, 0.206913
0.230612, 0.671102, 0.348592, 0.374731, 0.343869, 0.330131, 0.304191, 1.20836
0.226074, 0.269656, 0.21951, 0.176809, 0.210911, 0.293894, 0.252299, 0.246937
0.285266, 0.445594, 0.403882, 0.180554, 0.230265, 0.380883, 1.65297, 0.908029
0.141676, 0.179147, 0.139916, 0.127769, 0.161142, 0.152323, 0.329079, 0.436136
0.341204, 0.572136, 0.431666, 0.423698, 0.303001, 0.321646, 0.464194, 0.507556
0.366826, 0.70509, 0.359047, 0.274252, 0.460768, 0.242356, 0.603446, 0.891582
0.165914, 0.193192, 0.156043, 0.14194, 0.182946, 0.16664, 0.153377, 0.146439

Office.Texture.blindSpotRotation
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
0.546139, 0.557982, 0.528571, 0.520447, 0.546055, 0.547965, 0.602498, 0.624593
0.995838, 0.615772, 426.871, 0.612181, 1.00698, 0.591583, 0.628017, 0.634675
3.6216, 0.773904, 0.885971, 0.761774, 3.50565, 0.765861, 0.920462, 0.802155
3.64812, 0.729776, 1.05814, 0.858805, 3.60823, 0.706134, 0.797135, 0.717756
1.40556, 0.920851, 1.39319, 0.843583, 1.37389, 0.873774, 0.760405, 0.822098
0.921281, 1.05921, 0.915324, 0.841477, 0.897316, 0.893928, 1.08777, 1.12294
1.26693, 0.773916, 1.27411, 0.837906, 1.25758, 0.770414, 0.827595, 0.856973
